"shop_id";"shop_address";"country";"total_sales_count";"total_sales_amount"
1;SHOP0001 Moore Mills;Germany;12502;968962.02
2;SHOP0002 Nicole Station;Germany;25088;1711865.29
3;SHOP0003 Christy Creek;Germany;31604;1823269.60
4;SHOP0004 Candace Isle;Germany;12624;559158.91
5;SHOP0005 Lopez Groves;Germany;24999;1238767.27
6;SHOP0006 Allen View;Germany;18976;2014441.40
7;SHOP0007 Jones Canyon;Germany;12660;1370820.23
8;SHOP0008 Rachael Mountain;Germany;31419;1457311.34
9;SHOP0009 Hart Locks;Germany;25199;1183612.43
10;SHOP0010 Fernandez Inlet;Germany;12559;704997.45
11;SHOP0011 Stacy Alley;Germany;56508;2969105.44
12;SHOP0012 Horn Points;Germany;50257;6991024.71
13;SHOP0013 Arellano Ramp;Germany;18946;1252536.16
14;SHOP0014 Barnes Union;Germany;25075;1393368.36
15;SHOP0015 Hurst Ferry;Germany;18886;1452336.41
16;SHOP0016 Michael Ford;Germany;43936;2236690.13
17;SHOP0017 Katherine Trace;Germany;31449;2213639.29
18;SHOP0018 Anthony Radial;Germany;25003;777000.35
19;SHOP0019 Gill Glen;Germany;25140;2471785.76
20;SHOP0020 Martinez Trail;Germany;25328;1909058.24
21;SHOP0021 Virginia Tunnel;Germany;18905;897994.60
22;SHOP0022 Baker Via;Germany;37740;3409892.81
23;SHOP0023 Rush Manors;Germany;62864;6028797.17
24;SHOP0024 Gregory Burg;Germany;31531;3204632.85
25;SHOP0025 Devon Lodge;Germany;24925;1846548.60
26;SHOP0026 Murray Path;Germany;44429;4581590.11
27;SHOP0027 Karen Falls;Germany;43990;3728570.42
28;SHOP0028 Lisa Keys;Germany;18768;766434.66
29;SHOP0029 Shelby Skyway;Germany;25139;1077699.95
30;SHOP0030 Allen Curve;Germany;25072;1898920.16
31;SHOP0031 Reilly Neck;Germany;25321;1265679.56
32;SHOP0032 Stephanie Meadow;Germany;50217;2240394.33
33;SHOP0033 Anthony Village;Germany;37699;2935469.74
34;SHOP0034 Pamela Stream;France;18631;1246612.53
35;SHOP0035 William Roads;France;18690;1240698.99
36;SHOP0036 Joseph Walk;France;24800;2190884.85
37;SHOP0037 Tyler Union;France;18916;800461.97
38;SHOP0038 Thomas Crest;France;31419;1631322.46
39;SHOP0039 Jones Manors;France;18905;1799462.56
40;SHOP0040 Hernandez Trace;France;12719;853188.18
41;SHOP0041 Thomas Streets;France;38231;2609202.14
42;SHOP0042 Michele Plains;France;19143;1683823.46
43;SHOP0043 Samuel Hills;France;31555;2340942.54
44;SHOP0044 Matthew Shore;France;18648;1303135.23
45;SHOP0045 Roberson Passage;France;44169;4622966.79
46;SHOP0046 Eric Villages;France;37762;2413020.36
47;SHOP0047 Dunn Squares;France;31397;663784.43
48;SHOP0048 Myers Springs;France;12577;655151.60
49;SHOP0049 Victor Hill;France;44240;2880431.18
50;SHOP0050 Jordan Spurs;France;12684;447033.28
51;SHOP0051 Webster Run;Italy;31328;3383665.32
52;SHOP0052 Frank Ramp;Italy;18599;1264216.12
53;SHOP0053 Jennings Garden;Italy;18963;1625871.49
54;SHOP0054 Allen Ford;Italy;12599;1190040.77
55;SHOP0055 Alexander Bridge;Italy;25021;2874396.19
56;SHOP0056 Cody Drives;Italy;43766;3663000.06
57;SHOP0057 Emily Way;Italy;31674;1601462.61
58;SHOP0058 Robert Mission;Italy;6187;258745.59
59;SHOP0059 Cline Groves;Italy;12637;1055003.48
60;SHOP0060 Myers Orchard;Italy;19082;1386582.51
61;SHOP0061 Daniel Groves;Italy;18704;771589.52
62;SHOP0062 Paula Mills;Spain;44184;1577579.03
63;SHOP0063 Daniels Fork;Spain;43879;2260212.13
64;SHOP0064 Kevin Burg;Spain;37580;2090281.66
65;SHOP0065 Jacqueline Crest;Spain;18692;848819.43
66;SHOP0066 Daniel Centers;Spain;43999;2150674.23
67;SHOP0067 Bush Tunnel;Spain;37530;1958592.92
68;SHOP0068 Montoya Island;Spain;31604;2968718.40
69;SHOP0069 Cooper Wells;Poland;18839;878320.35
70;SHOP0070 Moses Land;Poland;12504;1411749.05
71;SHOP0071 Candace Plaza;Poland;25220;1381271.67
72;SHOP0072 Kiara Gardens;Poland;37868;1993649.62
