"sale_month";"monthly_revenue";"previous_month_revenue";"revenue_diff_vs_previous"
January 2022;2637841.50;0;2637841.50
February 2022;2710828.05;2637841.50;72986.55
March 2022;2686531.93;2710828.05;-24296.12
April 2022;2597125.39;2686531.93;-89406.54
May 2022;2807940.35;2597125.39;210814.96
June 2022;3166316.14;2807940.35;358375.79
July 2022;3805535.21;3166316.14;639219.07
August 2022;3066435.84;3805535.21;-739099.37
September 2022;2750297.84;3066435.84;-316138.00
October 2022;2704763.29;2750297.84;-45534.55
November 2022;3000733.81;2704763.29;295970.52
December 2022;3274566.08;3000733.81;273832.27
January 2023;2835324.48;3274566.08;-439241.60
February 2023;2584150.56;2835324.48;-251173.92
March 2023;2697708.41;2584150.56;113557.85
April 2023;2653231.70;2697708.41;-44476.71
May 2023;2865421.87;2653231.70;212190.17
June 2023;3096707.88;2865421.87;231286.01
July 2023;3827570.17;3096707.88;730862.29
August 2023;3035726.76;3827570.17;-791843.41
September 2023;2829694.15;3035726.76;-206032.61
October 2023;2759846.39;2829694.15;-69847.76
November 2023;2898601.42;2759846.39;138755.03
December 2023;3289176.53;2898601.42;390575.11
