"country_name";"shop_id";"shop_address";"total_sales_count";"total_sales_amount";"country_total";"country_sales_share";"shop_country_rank";"country_running_total"
France;45;SHOP0045 Roberson Passage;44169;4622966.79;29382079.55;0.15733967305251544049;1;4622966.79
France;49;SHOP0049 Victor Hill;44239;2880388.18;29382079.55;0.09803214149966454638;2;7503354.97
France;41;SHOP0041 Thomas Streets;38231;2609202.14;29382079.55;0.08880250070659140939;3;10112557.11
France;46;SHOP0046 Eric Villages;37762;2413020.36;29382079.55;0.08212558120311807542;4;12525577.47
France;43;SHOP0043 Samuel Hills;31555;2340942.54;29382079.55;0.07967245939881066043;5;14866520.01
France;36;SHOP0036 Joseph Walk;24800;2190884.85;29382079.55;0.07456534335058663334;6;17057404.86
France;39;SHOP0039 Jones Manors;18905;1799462.56;29382079.55;0.06124353985693296511;7;18856867.42
France;42;SHOP0042 Michele Plains;19143;1683823.46;29382079.55;0.05730783817171987747;8;20540690.88
France;38;SHOP0038 Thomas Crest;31419;1631322.46;29382079.55;0.05552100072508312299;9;22172013.34
France;44;SHOP0044 Matthew Shore;18648;1303135.23;29382079.55;0.04435136144065064993;10;23475148.57
France;34;SHOP0034 Pamela Stream;18631;1246612.53;29382079.55;0.04242764804576264242;11;24721761.10
France;35;SHOP0035 William Roads;18690;1240698.99;29382079.55;0.04222638455146378501;12;25962460.09
France;40;SHOP0040 Hernandez Trace;12719;853188.18;29382079.55;0.02903770573992609043;13;26815648.27
France;37;SHOP0037 Tyler Union;18916;800461.97;29382079.55;0.02724320341716588947;14;27616110.24
France;47;SHOP0047 Dunn Squares;31397;663784.43;29382079.55;0.02259147208659708363;15;28279894.67
France;48;SHOP0048 Myers Springs;12577;655151.60;29382079.55;0.02229765932275545827;16;28935046.27
France;50;SHOP0050 Jordan Spurs;12684;447033.28;29382079.55;0.01521448743065566984;17;29382079.55
Germany;12;SHOP0012 Horn Points;50257;6991024.71;70582075.75;0.09904815968804941246;1;6991024.71
Germany;23;SHOP0023 Rush Manors;62864;6028797.17;70582075.75;0.08541541327509059550;2;13019821.88
Germany;26;SHOP0026 Murray Path;44429;4581590.11;70582075.75;0.06491152408478153889;3;17601411.99
Germany;27;SHOP0027 Karen Falls;43990;3728570.42;70582075.75;0.05282602389318367419;4;21329982.41
Germany;22;SHOP0022 Baker Via;37740;3409892.81;70582075.75;0.04831103043891423100;5;24739875.22
